#,Initial Ideas,Original Source,Standardized Ideas,Web Source,Notes,
59,Forgiveness,Happier Human,Be Forgiving,https://www.happierhuman.com/moral-values-examples/,,
60,Gratitude,Happier Human,Be Grateful,https://www.happierhuman.com/moral-values-examples/,,
61,Cleanliness,Happier Human,Be Clean,https://www.happierhuman.com/moral-values-examples/,,
62,Patience,Happier Human,Be Patient,https://www.happierhuman.com/moral-values-examples/,,
63,Kindness,Happier Human,Be Kind,https://www.happierhuman.com/moral-values-examples/,,
64,Faithfulness,Happier Human,Do Not Commit Adultery,https://www.happierhuman.com/moral-values-examples/,,
65,Open-Mindedness,Happier Human,Be Open-Minded,https://www.happierhuman.com/moral-values-examples/,,
66,Always tell the truth,YourDictionary.com,Do Not Lie,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
67,Do not destroy property,YourDictionary.com,Respect Other’s Property,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
68,Have courage,YourDictionary.com,Be Courageous,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
69,Keep your promises,YourDictionary.com,"Do as you say, Be who you are",https://www.yourdictionary.com/articles/examples-morals-society-literature,,
70,Do not cheat,YourDictionary.com,Do Not Commit Adultery,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
71,Treat others as you would want to be treated,YourDictionary.com,Golden Rule,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
72,Do not judge,YourDictionary.com,Do Not Judge,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
73,Be dependable,YourDictionary.com,"Do as you say, Be who you are",https://www.yourdictionary.com/articles/examples-morals-society-literature,,
74,Be forgiving,YourDictionary.com,Be Forgiving,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
75,Have integrity,YourDictionary.com,"Do as you say, Be who you are",https://www.yourdictionary.com/articles/examples-morals-society-literature,,
76,Take responsibility for your actions,YourDictionary.com,Be Responsible for Your Own Actions,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
77,Have patience,YourDictionary.com,Be Patient,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
78,Be loyal,YourDictionary.com,Be Loyal,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
79,Have respect for your self and others,YourDictionary.com,Respect Other Humans,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
80,Be tolerant of differences,YourDictionary.com,Be Open-Minded,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
81,Seek justice,YourDictionary.com,Seek Justice,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
82,Have humility,YourDictionary.com,Be Humble,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
83,Be generous,YourDictionary.com,Be Generous,https://www.yourdictionary.com/articles/examples-morals-society-literature,,
84,Do Not Kill,Tarot Hermeneutics,Do Not Kill,https://tarothermeneutics.com/ethics/gertsrules.html,,
85,Do Not Cause Pain,Tarot Hermeneutics,Do No Harm,https://tarothermeneutics.com/ethics/gertsrules.html,,
86,Do Not Disable,Tarot Hermeneutics,Do No Harm,https://tarothermeneutics.com/ethics/gertsrules.html,,
87,Do Not Deprive of Freedom,Tarot Hermeneutics,Do No Harm,https://tarothermeneutics.com/ethics/gertsrules.html,,
88,Do Not Deprive of Pleasure,Tarot Hermeneutics,Do No Harm,https://tarothermeneutics.com/ethics/gertsrules.html,,
89,Do Not Deceive,Tarot Hermeneutics,Do Not Lie,https://tarothermeneutics.com/ethics/gertsrules.html,,
90,Keep Your Promises,Tarot Hermeneutics,"Do as you say, Be who you are",https://tarothermeneutics.com/ethics/gertsrules.html,,
91,Do Not Cheat,Tarot Hermeneutics,Do Not Cheat,https://tarothermeneutics.com/ethics/gertsrules.html,,
92,Obey the Law,Tarot Hermeneutics,Obey the Law,https://tarothermeneutics.com/ethics/gertsrules.html,,
93,Do Your Duty,Tarot Hermeneutics,Do Your Duty,https://tarothermeneutics.com/ethics/gertsrules.html,,
94,Don’t Kill,Very Well Mind,Do Not Kill,https://www.verywellmind.com/what-are-moral-principles-5198602,,
95,Speak the Truth,Very Well Mind,Do Not Lie,https://www.verywellmind.com/what-are-moral-principles-5198602,,
96,Be careful with what you say and do to others,Very Well Mind,Do No Harm,https://www.verywellmind.com/what-are-moral-principles-5198602,,
97,Respect the property of others,Very Well Mind,Respect Other’s Property,https://www.verywellmind.com/what-are-moral-principles-5198602,,
98,Treat people in need or distress as we would want to be treated if our situation was reversed,Very Well Mind,Golden Rule,https://www.verywellmind.com/what-are-moral-principles-5198602,,
99,Honesty,Better Up,Do Not Lie,https://www.betterup.com/blog/ethical-values,,
100,Integrity,Better Up,"Do as you say, Be who you are",https://www.betterup.com/blog/ethical-values,,
101,Charity,Better Up,Be Charitable,https://www.betterup.com/blog/ethical-values,,
102,Accountability,Better Up,Be Responsible for Your Own Actions,https://www.betterup.com/blog/ethical-values,,
103,Respect,Better Up,Respect Other Humans,https://www.betterup.com/blog/ethical-values,,
104,Fairness,Better Up,Be Fair,https://www.betterup.com/blog/ethical-values,,
105,Courage,Better Up,Be Courageous,https://www.betterup.com/blog/ethical-values,,
106,Excellence,Better Up,Continuous Improvement,https://www.betterup.com/blog/ethical-values,,
107,Do not feel absolutely certain of anything.,Wikipedia,Be Skeptical,https://en.wikipedia.org/wiki/Alternatives_to_the_Ten_Commandments,Bertrand Russell,
108,"Do not think it worthwhile to proceed by concealing evidence, for the evidence is sure to come to light.",Wikipedia,Do Not Be Deceitful,https://en.wikipedia.org/wiki/Alternatives_to_the_Ten_Commandments,Bertrand Russell,
109,Never try to discourage thinking for you are sure to succeed.,Wikipedia,Be Positive,https://en.wikipedia.org/wiki/Alternatives_to_the_Ten_Commandments,Bertrand Russell,
110,"When you meet with opposition, even if it should be from your husband or your children, endeavour to overcome it by argument and not by authority, for a victory dependent upon authority is unreal and illusory.",Wikipedia,TBD,https://en.wikipedia.org/wiki/Alternatives_to_the_Ten_Commandments,Bertrand Russell,
111,"Have no respect for the authority of others, for there are always contrary authorities to be found.",Wikipedia,TBD,https://en.wikipedia.org/wiki/Alternatives_to_the_Ten_Commandments,Bertrand Russell,
